epoch,dice_coefficient,iou_coefficient,learning_rate,loss,val_dice_coefficient,val_iou_coefficient,val_loss
0,0.19125156104564667,0.11107205599546432,0.0010000000474974513,0.07401774823665619,0.13624700903892517,0.07415879517793655,0.08156637102365494
1,0.37764281034469604,0.23749326169490814,0.0010000000474974513,0.041374098509550095,0.41983652114868164,0.2718943953514099,0.045337773859500885
2,0.485553503036499,0.3268650472164154,0.0010000000474974513,0.03281131386756897,0.321727991104126,0.19538366794586182,0.04992625489830971
3,0.5491171479225159,0.3851885199546814,0.0010000000474974513,0.028406769037246704,0.36823970079421997,0.22998541593551636,0.08901672065258026
4,0.5787346363067627,0.41485029458999634,0.0010000000474974513,0.02641964703798294,0.5248192548751831,0.36369630694389343,0.02843935415148735
5,0.6279610395431519,0.466289758682251,0.0010000000474974513,0.02257966622710228,0.6581595540046692,0.5014615058898926,0.023367637768387794
6,0.6593729853630066,0.4996122121810913,0.0010000000474974513,0.020956389605998993,0.6561065912246704,0.4943893849849701,0.020367583259940147
7,0.6962303519248962,0.5404660105705261,0.0010000000474974513,0.01813710294663906,0.6561383605003357,0.49715134501457214,0.020051654428243637
8,0.6922468543052673,0.5367638468742371,0.0010000000474974513,0.01847488060593605,0.6326760053634644,0.47369107604026794,0.023320486769080162
9,0.7017173767089844,0.5487703680992126,0.0010000000474974513,0.01773253083229065,0.6704925298690796,0.5109854936599731,0.018641244620084763
10,0.7143011093139648,0.562956690788269,0.0010000000474974513,0.016865495592355728,0.6989745497703552,0.5481970906257629,0.025325050577521324
11,0.7422493100166321,0.5962595343589783,0.0010000000474974513,0.014837701804935932,0.5085617899894714,0.3491274118423462,0.031285837292671204
12,0.7581949234008789,0.6163650155067444,0.0010000000474974513,0.014232887886464596,0.7507247924804688,0.6102244853973389,0.0187961645424366
13,0.7310805916786194,0.5837070941925049,0.0010000000474974513,0.015753164887428284,0.6684675216674805,0.5100296139717102,0.020623980090022087
14,0.762891948223114,0.6223934292793274,0.0010000000474974513,0.01365868654102087,0.7667083144187927,0.6295711994171143,0.015932418406009674
15,0.7797825336456299,0.6446456909179688,0.0010000000474974513,0.012573986314237118,0.7035188674926758,0.5507733821868896,0.018766464665532112
16,0.7820195555686951,0.6474729776382446,0.0010000000474974513,0.012468485161662102,0.6380807757377625,0.4779456853866577,0.021672135218977928
17,0.7767877578735352,0.6407136917114258,0.0010000000474974513,0.013168183155357838,0.7309849262237549,0.583404541015625,0.017980078235268593
18,0.7894006967544556,0.6568771004676819,0.0010000000474974513,0.01215219497680664,0.7341021299362183,0.5858822464942932,0.015917737036943436
19,0.7994640469551086,0.6704130172729492,0.0010000000474974513,0.011330469511449337,0.7159451842308044,0.5652914047241211,0.016231464222073555
20,0.8061487674713135,0.6800667643547058,0.0010000000474974513,0.011011035181581974,0.6633681654930115,0.5080177187919617,0.026333697140216827
21,0.8116785883903503,0.6873184442520142,0.0010000000474974513,0.010824989527463913,0.7724945545196533,0.6368983387947083,0.013661455363035202
22,0.8135684132575989,0.6900455951690674,0.0010000000474974513,0.010635587386786938,0.7902717590332031,0.6589396595954895,0.013040995225310326
23,0.8167149424552917,0.6942281723022461,0.0010000000474974513,0.010048716329038143,0.7933349013328552,0.6625605225563049,0.012249699793756008
24,0.818280041217804,0.6965141296386719,0.0010000000474974513,0.01008211262524128,0.740267276763916,0.5946061611175537,0.016684144735336304
25,0.8252745270729065,0.7064005732536316,0.0010000000474974513,0.00969228520989418,0.7690215110778809,0.631428062915802,0.014015094377100468
26,0.837912380695343,0.7244457602500916,0.0010000000474974513,0.009274067357182503,0.8138585090637207,0.6927468180656433,0.012047961354255676
27,0.8239640593528748,0.704913318157196,0.0010000000474974513,0.009391939267516136,0.8015639781951904,0.6738972663879395,0.012861799448728561
28,0.8324354887008667,0.7167574167251587,0.0010000000474974513,0.009136972017586231,0.8026305437088013,0.6758591532707214,0.010589278303086758
29,0.8388622403144836,0.7256066203117371,0.0010000000474974513,0.008795672096312046,0.7986418008804321,0.6715208292007446,0.014448180794715881
30,0.8465732932090759,0.7372919321060181,0.0010000000474974513,0.008618592284619808,0.787479817867279,0.6576505899429321,0.0127328522503376
31,0.845465362071991,0.735535740852356,0.0010000000474974513,0.008419639430940151,0.8155324459075928,0.693092942237854,0.012232935056090355
32,0.8485113382339478,0.7406309247016907,0.0010000000474974513,0.008303309790790081,0.7832584977149963,0.6505908370018005,0.013246174901723862
33,0.843528687953949,0.733078122138977,0.0010000000474974513,0.008426699787378311,0.8153444528579712,0.6947929859161377,0.013309999369084835
34,0.8367800116539001,0.7232197523117065,0.0010000000474974513,0.00874054990708828,0.7611940503120422,0.6224686503410339,0.015682894736528397
35,0.8464673757553101,0.7370542287826538,0.0010000000474974513,0.008504219353199005,0.8214434385299683,0.701267421245575,0.011868845671415329
36,0.8452271223068237,0.735083281993866,0.0010000000474974513,0.008758267387747765,0.8118798136711121,0.6897895932197571,0.01162712648510933
37,0.857064962387085,0.7525272369384766,0.0005000000237487257,0.0075603569857776165,0.845238983631134,0.7355155944824219,0.009873720817267895
38,0.8707688450813293,0.7732192277908325,0.0005000000237487257,0.007038324140012264,0.8310070633888245,0.7154936790466309,0.010246386751532555
39,0.8758785128593445,0.7812728881835938,0.0005000000237487257,0.0066536408849060535,0.8253618478775024,0.7066582441329956,0.011996705085039139
40,0.878385066986084,0.785017192363739,0.0005000000237487257,0.006432787515223026,0.8272910714149475,0.7107699513435364,0.01088916789740324
41,0.8760045766830444,0.7815583348274231,0.0005000000237487257,0.006578667089343071,0.8430320024490356,0.7327297925949097,0.011552561074495316
42,0.8760921955108643,0.7817481160163879,0.0005000000237487257,0.006730793043971062,0.8430940508842468,0.7326990962028503,0.010563382878899574
43,0.8769841194152832,0.7826312780380249,0.0005000000237487257,0.006383501924574375,0.8457192182540894,0.7362690567970276,0.011561891064047813
44,0.8815191388130188,0.7899155020713806,0.0005000000237487257,0.0061292569153010845,0.847312331199646,0.739159345626831,0.009934764355421066
45,0.8769959807395935,0.783173680305481,0.0005000000237487257,0.0065550245344638824,0.8467699289321899,0.7381194829940796,0.011691800318658352
46,0.885277509689331,0.7958196997642517,0.0002500000118743628,0.005946191027760506,0.8493024706840515,0.7424154281616211,0.010613970458507538
47,0.886157214641571,0.7972362637519836,0.0002500000118743628,0.005914611741900444,0.8495752811431885,0.7426543235778809,0.010891128331422806
48,0.8882036805152893,0.8005833029747009,0.0002500000118743628,0.005816413555294275,0.8453761339187622,0.736574113368988,0.011834192089736462
49,0.888374388217926,0.8006719946861267,0.0002500000118743628,0.005876380950212479,0.8430061340332031,0.7333208322525024,0.011577554047107697
