epoch,dice_coefficient,iou_coefficient,learning_rate,loss,val_dice_coefficient,val_iou_coefficient,val_loss
0,0.07653774321079254,0.040675874799489975,0.0010000000474974513,0.13827219605445862,0.09682748466730118,0.05106731504201889,0.1396012008190155
1,0.3378031551837921,0.20826125144958496,0.0010000000474974513,0.04414021223783493,0.34652021527290344,0.21327900886535645,0.05480766296386719
2,0.5085883736610413,0.3464917540550232,0.0010000000474974513,0.0304995309561491,0.5681094527244568,0.40261512994766235,0.034135330468416214
3,0.5958195924758911,0.43101826310157776,0.0010000000474974513,0.02446248196065426,0.5789435505867004,0.41438356041908264,0.023463020101189613
4,0.622621476650238,0.45901498198509216,0.0010000000474974513,0.02287224866449833,0.5921275615692139,0.4290666878223419,0.023548319935798645
5,0.6765187382698059,0.5176353454589844,0.0010000000474974513,0.018949054181575775,0.6304399967193604,0.46695011854171753,0.01807999797165394
6,0.6944143772125244,0.5381381511688232,0.0010000000474974513,0.018327265977859497,0.6557227373123169,0.49534058570861816,0.02021113596856594
7,0.6971473097801208,0.5421348810195923,0.0010000000474974513,0.0177228394895792,0.711913526058197,0.5609719753265381,0.016749192029237747
8,0.7385010123252869,0.5912895798683167,0.0010000000474974513,0.015456064604222775,0.24243424832820892,0.14080201089382172,0.06148648262023926
9,0.7374773025512695,0.5898321270942688,0.0010000000474974513,0.014923756942152977,0.7848197221755981,0.6525697708129883,0.015599178150296211
10,0.7597105503082275,0.6190422177314758,0.0010000000474974513,0.013936812989413738,0.7554776072502136,0.613619863986969,0.01506332028657198
11,0.75848388671875,0.6167733669281006,0.0010000000474974513,0.013651775196194649,0.7522684335708618,0.609401524066925,0.016671421006321907
12,0.768745481967926,0.6294943690299988,0.0010000000474974513,0.013437444344162941,0.7508459091186523,0.6074524521827698,0.015288320370018482
13,0.7804232835769653,0.6448490023612976,0.0010000000474974513,0.012162798084318638,0.46125704050064087,0.308672159910202,0.04263165593147278
14,0.7843967080116272,0.6511455774307251,0.0010000000474974513,0.012438543140888214,0.42679354548454285,0.2804194390773773,0.04146857187151909
15,0.7921860218048096,0.6609392166137695,0.0010000000474974513,0.0115085169672966,0.7553170919418335,0.6123170852661133,0.014183730818331242
16,0.7932708263397217,0.6621684432029724,0.0010000000474974513,0.011554501950740814,0.7743773460388184,0.6392863392829895,0.012902187183499336
17,0.8123844265937805,0.6883203983306885,0.0010000000474974513,0.010796193964779377,0.7644608020782471,0.6270797252655029,0.014004504308104515
18,0.796742856502533,0.667837381362915,0.0010000000474974513,0.01132013089954853,0.7831732034683228,0.6494572162628174,0.012988988310098648
19,0.822737991809845,0.7025449275970459,0.0010000000474974513,0.009724659845232964,0.7944179177284241,0.6662079095840454,0.014398542232811451
20,0.8132091760635376,0.6896135807037354,0.0010000000474974513,0.010630041360855103,0.7795951962471008,0.6446264386177063,0.01240029837936163
21,0.8225803375244141,0.7026395201683044,0.0010000000474974513,0.009772996418178082,0.7764543294906616,0.6415669918060303,0.01326940581202507
22,0.8275134563446045,0.7097245454788208,0.0010000000474974513,0.009933260269463062,0.7617109417915344,0.6200928092002869,0.013358423486351967
23,0.8239549398422241,0.7045395374298096,0.0010000000474974513,0.009812572039663792,0.8051497936248779,0.6802591681480408,0.013032044284045696
24,0.8314356803894043,0.7153252959251404,0.0010000000474974513,0.009470036253333092,0.8133625984191895,0.6925984025001526,0.01271357573568821
25,0.8311329483985901,0.715185284614563,0.0010000000474974513,0.009214436635375023,0.8230643272399902,0.7056940197944641,0.016096170991659164
26,0.8236232995986938,0.7045524716377258,0.0010000000474974513,0.009746376425027847,0.236916184425354,0.13719798624515533,0.09122931212186813
27,0.8187648057937622,0.6975142955780029,0.0010000000474974513,0.009963199496269226,0.7760891914367676,0.6415079832077026,0.014387468807399273
28,0.8374878168106079,0.7236387133598328,0.0010000000474974513,0.008933112025260925,0.8098524212837219,0.6866204142570496,0.012074465863406658
